Minus-X_Array,,
,,
Time (UTCG),Power (W),Solar Intensity
39:00.0,6.493,1
40:00.0,6.769,1
41:00.0,7.037,1
42:00.0,7.247,1
43:00.0,7.38,1
44:00.0,7.423,1
45:00.0,7.422,1
46:00.0,7.421,1
47:00.0,7.423,1
48:00.0,7.423,1
49:00.0,7.421,1
50:00.0,7.423,1
51:00.0,7.437,1
52:00.0,7.424,1
53:00.0,7.423,1
54:00.0,7.421,1
55:00.0,7.422,1
56:00.0,7.419,1
57:00.0,7.421,1
58:00.0,7.421,1
59:00.0,7.424,1
00:00.0,7.422,1
01:00.0,7.422,1
02:00.0,7.423,1
03:00.0,7.423,1
04:00.0,7.423,1
05:00.0,7.423,1
06:00.0,7.421,1
07:00.0,7.392,1
08:00.0,7.252,1
09:00.0,7.03,1
10:00.0,6.727,1
11:00.0,6.406,1
12:00.0,6.15,1
13:00.0,5.972,1
14:00.0,5.796,1
15:00.0,5.655,1
16:00.0,5.551,1
17:00.0,5.473,1
18:00.0,5.419,1
19:00.0,5.403,1
20:00.0,5.408,1
21:00.0,5.444,1
22:00.0,5.513,1
23:00.0,5.6,1
24:00.0,5.726,1
25:00.0,5.883,1
26:00.0,6.056,1
27:00.0,6.276,1
28:00.0,6.564,1
29:00.0,6.899,1
30:00.0,7.15,1
31:00.0,7.333,1
32:00.0,7.419,1
33:00.0,7.42,1
34:00.0,7.423,1
35:00.0,7.42,1
36:00.0,7.419,1
37:00.0,7.424,1
38:00.0,7.423,1
39:00.0,7.421,1
40:00.0,7.42,1
41:00.0,7.419,1
42:00.0,7.42,1
43:00.0,7.405,1
44:00.0,7.42,1
45:00.0,7.421,1
46:00.0,7.421,1
47:00.0,7.422,1
48:00.0,7.416,1
49:00.0,7.419,1
50:00.0,7.421,1
51:00.0,7.422,1
52:00.0,7.419,1
53:00.0,7.42,1
54:00.0,7.419,1
55:00.0,7.408,1
56:00.0,7.318,1
57:00.0,7.139,1
58:00.0,6.907,1
59:00.0,6.622,1
00:00.0,6.379,1
01:00.0,6.193,1
02:00.0,6.064,1
03:00.0,5.947,1
04:00.0,5.841,1
05:00.0,5.774,1
06:00.0,5.746,1
07:00.0,5.741,1
08:00.0,5.765,1
09:00.0,5.822,1
10:00.0,5.912,1
11:00.0,6.037,1
12:00.0,6.161,1
13:00.0,6.331,1
14:00.0,6.56,1
15:00.0,6.845,1
16:00.0,7.096,1
17:00.0,7.285,1
18:00.0,7.4,1
19:00.0,7.411,1
20:00.0,7.422,1
21:00.0,7.421,1
22:00.0,7.421,1
23:00.0,7.419,1
24:00.0,7.421,1
25:00.0,7.42,1
26:00.0,7.42,1
27:00.0,7.419,1
28:00.0,7.419,1
29:00.0,7.42,1
30:00.0,7.417,1
31:00.0,7.42,1
32:00.0,7.42,1
33:00.0,7.423,1
34:00.0,7.42,1
35:00.0,7.421,1
36:00.0,7.419,1
37:00.0,7.421,1
38:00.0,7.421,1
39:00.0,7.417,1
40:00.0,7.417,1
41:00.0,7.418,1
42:00.0,7.364,1
