"Number","Coverage Start (UTCG)","Coverage End (UTCG)","Duration (sec)","Percent"
285,19 Jan 2025 13:51:16.453,19 Jan 2025 13:54:11.004,174.551,0.000553
286,19 Jan 2025 15:26:01.297,19 Jan 2025 15:28:59.151,177.854,0.000564
287,19 Jan 2025 17:00:51.678,19 Jan 2025 17:03:47.177,175.499,0.000557
288,19 Jan 2025 18:35:39.468,19 Jan 2025 18:38:18.975,159.507,0.000506
289,19 Jan 2025 20:10:09.673,19 Jan 2025 20:13:12.353,182.679,0.000579
290,19 Jan 2025 21:44:57.051,19 Jan 2025 21:47:51.262,174.211,0.000552
291,19 Jan 2025 23:19:41.791,19 Jan 2025 23:22:43.443,181.652,0.000576
292,20 Jan 2025 00:54:32.172,20 Jan 2025 00:57:27.548,175.376,0.000556
293,20 Jan 2025 02:29:19.911,20 Jan 2025 02:32:15.503,175.592,0.000557
294,20 Jan 2025 04:04:03.909,20 Jan 2025 04:06:52.694,168.785,0.000535
295,20 Jan 2025 05:38:37.672,20 Jan 2025 05:41:31.498,173.826,0.000551
296,20 Jan 2025 07:13:22.335,20 Jan 2025 07:16:23.822,181.487,0.000575
297,20 Jan 2025 08:48:12.689,20 Jan 2025 08:51:07.897,175.208,0.000556
298,20 Jan 2025 10:23:00.377,20 Jan 2025 10:25:55.902,175.525,0.000557
299,20 Jan 2025 11:57:44.485,20 Jan 2025 12:00:33.006,168.521,0.000534
300,20 Jan 2025 13:32:18.316,20 Jan 2025 13:35:13.471,175.155,0.000555
301,20 Jan 2025 15:07:02.922,20 Jan 2025 15:10:04.176,181.254,0.000575
302,20 Jan 2025 16:41:53.228,20 Jan 2025 16:44:48.223,174.995,0.000555
303,20 Jan 2025 18:16:40.865,20 Jan 2025 18:19:36.283,175.418,0.000556
304,20 Jan 2025 19:51:25.103,20 Jan 2025 19:54:13.297,168.194,0.000533
305,20 Jan 2025 21:26:04.560,20 Jan 2025 21:28:54.062,169.502,0.000537
