                                                                                                                                                                                                     25 Apr 2023 14:23:33
CoverageDefinition-NorthCusp



Spliced coverage by Pass for Region: 1
--------------------------------------

Access       Access Start (UTCG)          Access End (UTCG)       Duration (sec)     Asset Name    Asset Full Name    Region Name    % Coverage    Area Coverage (km^2)    % Accum Coverage    Accum Area Coverage (km^2)
   100    23 Jan 2025 12:33:46.092    23 Jan 2025 12:50:27.123          1001.031    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
   101    24 Jan 2025 07:31:29.809    24 Jan 2025 07:46:24.932           895.123    Satellite12    Satellite12        1               27.199758          1201397.537454          100.000000                4416941.971327
   102    24 Jan 2025 09:05:54.821    24 Jan 2025 09:22:15.203           980.382    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
   103    24 Jan 2025 10:40:07.235    24 Jan 2025 10:57:00.091          1012.856    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   104    24 Jan 2025 12:14:50.278    24 Jan 2025 12:31:41.804          1011.526    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
   105    24 Jan 2025 13:49:33.305    24 Jan 2025 14:00:42.396           669.091    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
   106    25 Jan 2025 07:12:37.825    25 Jan 2025 07:26:51.277           853.451    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
   107    25 Jan 2025 08:47:05.504    25 Jan 2025 09:03:21.568           976.064    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
   108    25 Jan 2025 10:21:20.394    25 Jan 2025 10:38:06.224          1005.831    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   109    25 Jan 2025 11:55:54.442    25 Jan 2025 12:12:50.688          1016.247    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
   110    25 Jan 2025 13:30:37.451    25 Jan 2025 13:46:24.131           946.680    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
   111    26 Jan 2025 06:58:13.950    26 Jan 2025 07:07:03.227           529.277    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
   112    26 Jan 2025 08:28:15.686    26 Jan 2025 08:44:22.009           966.322    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
   113    26 Jan 2025 10:02:33.055    26 Jan 2025 10:19:12.084           999.029    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   114    26 Jan 2025 11:36:58.584    26 Jan 2025 11:53:56.327          1017.744    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
   115    26 Jan 2025 13:11:41.574    26 Jan 2025 13:27:54.605           973.031    Satellite12    Satellite12        1               29.878608          1319720.791202          100.000000                4416941.971327
   116    27 Jan 2025 08:09:25.357    27 Jan 2025 08:25:15.577           950.220    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
   117    27 Jan 2025 09:43:45.222    27 Jan 2025 10:00:17.677           992.454    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
   118    27 Jan 2025 11:18:02.704    27 Jan 2025 11:35:01.697          1018.993    Satellite12    Satellite12        1               85.434164          3773577.441939          100.000000                4416941.971327
   119    27 Jan 2025 12:52:45.676    27 Jan 2025 13:09:20.073           994.398    Satellite12    Satellite12        1               33.989297          1501287.529086          100.000000                4416941.971327
   120    28 Jan 2025 07:50:34.503    28 Jan 2025 08:06:01.504           927.001    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
   121    28 Jan 2025 09:24:56.898    28 Jan 2025 09:41:23.001           986.103    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
   122    28 Jan 2025 10:59:16.263    28 Jan 2025 11:16:07.045          1010.782    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
